product_id,category_id,sku,name,brand,retail_price_eur,release_date,listed_date,condition,status,days_on_shelf
56,1,SKU-10269,"TCL 65"" MiniLED Ultra 2022",TCL,1965,2024-06-12,2024-09-02,open_box,for_sale,216
57,1,SKU-10277,"Philips 85"" OLED Ultra 2021",Philips,975,2023-11-27,2024-01-26,new,sold,436
58,1,SKU-10286,"Sony 55"" LED Mini 2023",Sony,805,2022-12-21,2023-01-30,new,sold,797
59,1,SKU-10295,"Hisense 85"" MiniLED Smart 2022",Hisense,2450,2023-07-22,2023-08-03,new,rented,612
60,1,SKU-10300,"LG 50"" LED 4K 2022",LG,400,2022-02-11,2022-04-22,new,sold,1080
61,1,SKU-10303,"Hisense 65"" Neo QLED Air 2021",Hisense,1270,2023-01-07,2023-01-13,new,sold,814
62,1,SKU-10311,"Samsung 85"" AMOLED Max 2024",Samsung,415,2022-08-22,2022-11-02,new,sold,886
63,1,SKU-10313,"LG 65"" Neo QLED Plus 2024",LG,955,2024-04-19,2024-05-28,new,sold,313
64,1,SKU-10314,"TCL 50"" OLED Plus 2022",TCL,680,2022-05-14,2022-06-03,new,sold,1038
65,1,SKU-10321,"Philips 85"" LED Air 2023",Philips,1845,2024-07-09,2024-07-18,open_box,for_sale,262
66,1,SKU-10325,"Sony 50"" AMOLED Vision 2022",Sony,625,2023-06-11,2023-06-29,new,sold,647
67,1,SKU-10326,"LG 85"" LED Compact 2023",LG,1840,2023-05-09,2023-07-12,new,rented,634
68,1,SKU-10334,"Philips 55"" QLED Max 2021",Philips,500,2021-11-18,2022-02-12,new,rented,1149
69,1,SKU-10335,"LG 65"" AMOLED Air 2024",LG,2090,2022-05-07,2022-07-06,new,sold,1005
70,1,SKU-10342,"Sony 85"" Neo QLED Wireless 2021",Sony,935,2024-01-21,2024-03-31,new,sold,371
71,1,SKU-10350,"Samsung 75"" QLED Wireless 2023",Samsung,1745,2024-06-13,2024-08-04,new,sold,245
72,1,SKU-10354,"TCL 55"" MiniLED 4K 2024",TCL,585,2023-06-18,2023-08-13,open_box,sold,602
73,1,SKU-10362,"Samsung 43"" MiniLED Ultra 2022",Samsung,1195,2023-03-23,2023-04-06,new,rented,731
74,1,SKU-10364,"Hisense 65"" Neo QLED Elite 2024",Hisense,2455,2023-03-18,2023-05-15,new,sold,692
75,1,SKU-10367,"Philips 55"" MiniLED Advanced 2022",Philips,885,2021-12-01,2022-01-06,open_box,sold,1186
76,1,SKU-10372,"TCL 65"" LED Vision 2024",TCL,1030,2023-12-16,2024-02-12,new,sold,419
77,1,SKU-10376,"Hisense 55"" AMOLED Premium 2024",Hisense,1340,2024-01-02,2024-02-20,open_box,sold,411
78,1,SKU-10379,"Philips 43"" Neo QLED Pro 2022",Philips,520,2024-07-23,2024-07-24,open_box,sold,256
79,1,SKU-10382,"Philips 75"" AMOLED Elite 2021",Philips,1175,2022-05-03,2022-06-14,open_box,sold,1027
80,1,SKU-10391,"Philips 43"" OLED Wireless 2024",Philips,1690,2023-07-14,2023-08-12,refurbished,sold,603
81,1,SKU-10393,"Philips 43"" QLED Plus 2021",Philips,1015,2022-03-19,2022-04-25,new,sold,1077
82,1,SKU-10399,"Philips 85"" OLED Elite 2022",Philips,675,2022-03-25,2022-06-11,new,sold,1030
83,1,SKU-10403,"Philips 65"" LED Vision 2022",Philips,1765,2024-07-05,2024-08-10,open_box,for_sale,239
84,1,SKU-10412,"LG 85"" Neo QLED Max 2024",LG,1820,2024-06-16,2024-07-24,new,sold,256
85,1,SKU-10419,"Philips 75"" LED Plus 2022",Philips,2485,2023-08-26,2023-08-28,open_box,sold,587
86,1,SKU-10426,"Sony 75"" LED Ultra 2021",Sony,780,2022-11-07,2023-01-25,new,sold,802
87,1,SKU-10429,"Hisense 75"" LED Plus 2021",Hisense,1910,2022-05-28,2022-07-04,new,sold,1007
88,1,SKU-10436,"LG 75"" LED Advanced 2022",LG,2125,2023-04-11,2023-06-11,new,sold,665
89,1,SKU-10442,"Samsung 75"" LED Neo 2021",Samsung,500,2024-03-18,2024-03-19,new,sold,383
90,1,SKU-10451,"Samsung 85"" LED Neo 2023",Samsung,535,2023-02-23,2023-04-24,new,rented,713
91,1,SKU-10460,"Sony 43"" OLED Premium 2021",Sony,400,2022-02-08,2022-03-18,new,sold,1115
92,1,SKU-10462,"Samsung 85"" AMOLED Premium 2022",Samsung,1830,2024-02-23,2024-05-08,refurbished,for_sale,333
93,1,SKU-10465,"Philips 85"" LED Plus 2024",Philips,775,2024-05-30,2024-06-29,new,sold,281
94,1,SKU-10467,"Hisense 50"" QLED 4K 2023",Hisense,2385,2024-07-09,2024-07-20,open_box,sold,260
95,1,SKU-10471,"Hisense 75"" OLED Ultra 2021",Hisense,450,2022-12-16,2023-03-01,new,sold,767
96,1,SKU-10475,"Sony 75"" LED Elite 2021",Sony,2055,2022-05-22,2022-08-14,new,sold,966
97,1,SKU-10478,"Samsung 55"" QLED 4K 2022",Samsung,580,2024-03-06,2024-05-12,new,sold,329
98,1,SKU-10480,"Philips 65"" MiniLED Neo 2023",Philips,785,2022-01-05,2022-03-30,new,sold,1103
99,1,SKU-10485,"Philips 85"" QLED Ultra 2021",Philips,1380,2024-06-18,2024-06-27,new,sold,283
100,1,SKU-10491,"TCL 85"" MiniLED Elite 2021",TCL,1505,2023-09-10,2023-10-28,new,sold,526
101,1,SKU-10500,"Sony 85"" OLED Neo 2024",Sony,1245,2023-02-20,2023-04-13,new,sold,724
102,1,SKU-10508,"Philips 85"" LED Mini 2021",Philips,1120,2022-08-14,2022-11-09,new,sold,879
103,1,SKU-10510,"Samsung 50"" MiniLED Max 2021",Samsung,430,2023-08-14,2023-11-07,new,sold,516
104,1,SKU-10517,"Sony 55"" QLED Mini 2021",Sony,1570,2023-02-21,2023-03-12,open_box,sold,756
105,1,SKU-10525,"LG 55"" MiniLED Plus 2023",LG,795,2024-03-18,2024-05-28,refurbished,sold,313
106,1,SKU-10534,"Samsung 55"" LED Slim 2021",Samsung,310,2022-08-10,2022-10-21,open_box,sold,898
107,1,SKU-10541,"Samsung 65"" Neo QLED Elite 2021",Samsung,1295,2022-10-03,2022-11-19,new,sold,869
108,1,SKU-10547,"TCL 43"" AMOLED Max 2021",TCL,480,2024-04-03,2024-06-26,new,sold,284
109,1,SKU-10555,"TCL 43"" LED Neo 2024",TCL,1245,2023-05-10,2023-08-04,open_box,sold,611
110,1,SKU-10563,"TCL 43"" QLED Compact 2021",TCL,750,2023-02-20,2023-03-09,refurbished,sold,759
111,1,SKU-10568,"Sony 50"" OLED Wireless 2021",Sony,1135,2023-02-12,2023-04-17,new,sold,720
112,1,SKU-10574,"Samsung 43"" LED HD 2021",Samsung,1565,2024-01-09,2024-04-08,open_box,sold,363
113,1,SKU-10581,"Sony 75"" Neo QLED Plus 2024",Sony,2130,2024-01-01,2024-01-12,new,sold,450
114,1,SKU-10583,"LG 55"" AMOLED Mini 2024",LG,1045,2023-11-05,2023-11-14,new,rented,509
115,1,SKU-10585,"TCL 50"" QLED Edge 2022",TCL,620,2023-01-18,2023-02-09,new,sold,787
116,1,SKU-10588,"Hisense 75"" Neo QLED Max 2022",Hisense,1795,2023-08-05,2023-10-24,new,sold,530
117,1,SKU-10591,"Philips 75"" QLED Max 2024",Philips,1075,2022-04-23,2022-06-01,new,sold,1040
118,1,SKU-10599,"Samsung 75"" MiniLED Pro 2023",Samsung,1415,2024-05-23,2024-08-05,new,sold,244
119,1,SKU-10600,"Philips 75"" OLED Vision 2022",Philips,2405,2024-06-28,2024-07-11,new,for_sale,269
120,1,SKU-10602,"TCL 75"" MiniLED Smart 2021",TCL,1640,2023-11-30,2024-01-16,new,sold,446
121,1,SKU-10609,"Philips 43"" MiniLED Wireless 2021",Philips,1790,2023-07-04,2023-08-05,open_box,sold,610
122,1,SKU-10612,"Sony 50"" MiniLED Max 2022",Sony,1860,2022-05-15,2022-06-23,new,sold,1018
123,1,SKU-10619,"Hisense 75"" LED Wireless 2022",Hisense,340,2023-09-02,2023-09-25,new,sold,559
124,1,SKU-10625,"Philips 55"" QLED Advanced 2022",Philips,1415,2021-12-25,2022-03-19,new,sold,1114
125,1,SKU-10628,"TCL 50"" AMOLED HD 2022",TCL,1260,2024-03-06,2024-04-21,open_box,sold,350
126,1,SKU-10632,"Philips 55"" Neo QLED Compact 2024",Philips,2290,2022-11-21,2023-02-02,new,eligible_for_rental,794
127,1,SKU-10640,"Sony 50"" LED HD 2024",Sony,415,2024-07-26,2024-09-11,new,sold,207
128,1,SKU-10642,"Hisense 55"" Neo QLED Edge 2021",Hisense,2290,2022-09-04,2022-10-29,new,sold,890
129,1,SKU-10646,"Philips 75"" LED 4K 2021",Philips,820,2022-05-01,2022-06-17,new,sold,1024
130,1,SKU-10647,"Sony 55"" Neo QLED Plus 2023",Sony,1830,2022-07-14,2022-10-12,new,sold,907
131,1,SKU-10655,"TCL 50"" MiniLED Ultra 2021",TCL,2365,2024-05-02,2024-05-16,refurbished,sold,325
132,1,SKU-10660,"LG 85"" MiniLED Compact 2021",LG,1305,2022-06-14,2022-08-16,new,rented,964
133,1,SKU-10669,"Samsung 43"" MiniLED Edge 2022",Samsung,1075,2024-04-10,2024-05-03,open_box,sold,338
134,1,SKU-10671,"TCL 75"" MiniLED 4K 2021",TCL,345,2024-08-15,2024-08-20,open_box,sold,229
135,1,SKU-10678,"Sony 50"" AMOLED Slim 2021",Sony,1745,2022-05-19,2022-08-01,open_box,sold,979
136,1,SKU-10684,"LG 85"" Neo QLED Pro 2023",LG,2455,2024-06-19,2024-09-07,new,for_sale,211
137,1,SKU-10687,"Samsung 50"" QLED Neo 2021",Samsung,995,2023-07-25,2023-09-28,new,sold,556
138,1,SKU-10696,"Philips 43"" AMOLED Slim 2021",Philips,1030,2022-07-27,2022-09-12,new,sold,937
139,1,SKU-10703,"Hisense 85"" Neo QLED Neo 2024",Hisense,1105,2024-10-26,2024-11-29,new,for_sale,128
140,1,SKU-10710,"Samsung 43"" QLED Mini 2022",Samsung,1020,2023-07-21,2023-08-29,new,sold,586
141,1,SKU-10717,"LG 75"" Neo QLED Neo 2023",LG,905,2022-04-19,2022-04-28,open_box,sold,1074
142,1,SKU-10724,"Sony 85"" Neo QLED Edge 2022",Sony,375,2022-04-18,2022-05-18,refurbished,sold,1054
143,1,SKU-10730,"Sony 55"" Neo QLED HD 2021",Sony,1980,2022-08-03,2022-10-09,new,sold,910
144,1,SKU-10737,"Sony 65"" MiniLED Slim 2022",Sony,1150,2022-07-28,2022-08-30,refurbished,sold,950
145,1,SKU-10742,"Hisense 43"" OLED Neo 2022",Hisense,2175,2024-06-22,2024-07-14,open_box,sold,266
146,1,SKU-10750,"Samsung 55"" LED Wireless 2023",Samsung,2170,2022-11-07,2022-12-23,new,sold,835
147,1,SKU-10754,"Samsung 55"" MiniLED Advanced 2022",Samsung,1560,2024-06-06,2024-08-15,new,sold,234
148,1,SKU-10756,"Samsung 65"" MiniLED Compact 2024",Samsung,460,2023-07-22,2023-10-12,new,sold,542
149,1,SKU-10764,"Philips 50"" OLED Edge 2023",Philips,1250,2022-04-09,2022-04-24,new,rented,1078
150,1,SKU-10767,"Sony 75"" LED Smart 2022",Sony,2160,2023-05-04,2023-05-29,open_box,sold,678
151,1,SKU-10776,"Sony 85"" OLED Elite 2023",Sony,1600,2022-10-22,2022-11-12,open_box,sold,876
152,1,SKU-10782,"TCL 55"" AMOLED Pro 2021",TCL,765,2024-02-14,2024-05-03,open_box,sold,338
153,1,SKU-10783,"Philips 85"" Neo QLED Flex 2023",Philips,955,2022-03-03,2022-05-30,new,sold,1042
154,1,SKU-10786,"Philips 75"" OLED Mini 2024",Philips,985,2023-09-02,2023-10-16,new,sold,538
155,1,SKU-10789,"Sony 43"" LED Edge 2021",Sony,1290,2022-10-04,2022-10-16,new,sold,903
156,1,SKU-10794,"Philips 85"" LED Mini 2022",Philips,715,2022-09-21,2022-11-23,new,sold,865
157,1,SKU-10802,"Philips 75"" Neo QLED Compact 2024",Philips,2425,2023-01-02,2023-03-17,new,sold,751
158,1,SKU-10803,"Samsung 43"" QLED Compact 2024",Samsung,1245,2023-05-11,2023-06-26,refurbished,sold,650
159,1,SKU-10810,"Sony 50"" LED Pro 2024",Sony,1515,2022-04-12,2022-05-31,new,sold,1041
160,1,SKU-10818,"TCL 55"" LED Slim 2021",TCL,1525,2024-01-01,2024-01-19,new,sold,443
161,1,SKU-10827,"Philips 85"" LED Edge 2021",Philips,2070,2024-10-02,2024-11-29,new,sold,128
162,1,SKU-10836,"LG 85"" LED Wireless 2023",LG,1605,2024-08-31,2024-11-04,new,for_sale,153
163,1,SKU-10844,"Hisense 55"" AMOLED Vision 2023",Hisense,540,2024-02-19,2024-05-03,new,for_sale,338
164,1,SKU-10845,"TCL 65"" OLED Air 2023",TCL,1450,2024-01-31,2024-02-18,open_box,sold,413
165,1,SKU-10849,"Samsung 55"" Neo QLED Vision 2021",Samsung,630,2023-01-01,2023-02-22,new,sold,774
166,1,SKU-10857,"Hisense 55"" AMOLED Pro 2022",Hisense,1350,2024-01-02,2024-02-11,new,sold,420
167,1,SKU-10865,"TCL 50"" OLED Wireless 2023",TCL,915,2023-08-07,2023-09-04,new,sold,580
168,1,SKU-10870,"Hisense 75"" AMOLED Advanced 2024",Hisense,900,2022-06-26,2022-09-07,open_box,sold,942
169,1,SKU-10879,"Philips 55"" AMOLED HD 2023",Philips,475,2024-04-02,2024-06-24,new,sold,286
170,1,SKU-10887,"LG 43"" MiniLED Advanced 2023",LG,1930,2023-04-05,2023-05-06,new,sold,701
171,1,SKU-10896,"LG 85"" Neo QLED Premium 2021",LG,520,2022-10-09,2022-10-09,new,sold,910
172,1,SKU-10899,"Philips 55"" AMOLED Air 2024",Philips,430,2022-04-11,2022-07-03,new,sold,1008
173,1,SKU-10903,"TCL 65"" Neo QLED Pro 2022",TCL,710,2023-08-12,2023-08-16,new,sold,599
174,1,SKU-10908,"TCL 75"" Neo QLED Plus 2023",TCL,2255,2022-07-30,2022-10-02,new,rented,917
175,1,SKU-10913,"LG 85"" OLED Plus 2023",LG,330,2023-10-16,2023-11-22,new,sold,501
176,1,SKU-10917,"LG 65"" AMOLED HD 2024",LG,510,2022-08-15,2022-10-15,new,sold,904
177,1,SKU-10921,"Samsung 55"" LED Slim 2024",Samsung,1580,2021-12-22,2022-01-24,open_box,sold,1168
178,1,SKU-10927,"Hisense 50"" Neo QLED Premium 2021",Hisense,1810,2023-07-03,2023-09-29,new,sold,555
179,1,SKU-10932,"Sony 65"" AMOLED Premium 2022",Sony,2475,2023-12-14,2024-02-05,open_box,sold,426
180,1,SKU-10941,"Philips 75"" Neo QLED Flex 2022",Philips,1460,2023-10-31,2024-01-11,new,eligible_for_rental,451
181,1,SKU-10942,"TCL 55"" MiniLED Edge 2022",TCL,1270,2022-12-13,2023-02-25,new,rented,771
182,1,SKU-10944,"TCL 65"" Neo QLED Neo 2021",TCL,1540,2024-05-10,2024-08-04,new,sold,245
183,1,SKU-10945,"Philips 43"" Neo QLED Slim 2021",Philips,1055,2022-03-03,2022-05-11,new,sold,1061
184,1,SKU-10947,"Philips 85"" AMOLED Pro 2023",Philips,1720,2024-03-24,2024-05-10,new,sold,331
185,1,SKU-10955,"Philips 43"" OLED HD 2021",Philips,2485,2024-01-08,2024-03-15,new,sold,387
186,1,SKU-10959,"Samsung 75"" Neo QLED Ultra 2023",Samsung,2110,2023-03-25,2023-05-22,new,sold,685
187,1,SKU-10962,"Sony 43"" OLED Advanced 2021",Sony,750,2022-05-11,2022-07-26,new,sold,985
188,1,SKU-10970,"TCL 50"" MiniLED Pro 2022",TCL,775,2022-04-09,2022-04-26,new,sold,1076
189,1,SKU-10975,"LG 50"" AMOLED Vision 2023",LG,1445,2024-03-19,2024-04-26,new,sold,345
190,1,SKU-10976,"TCL 43"" LED Vision 2022",TCL,2370,2023-12-15,2024-02-20,new,sold,411
191,1,SKU-10983,"Philips 65"" OLED Elite 2023",Philips,2170,2023-06-10,2023-09-08,new,sold,576
192,1,SKU-10991,"Samsung 50"" Neo QLED Flex 2024",Samsung,835,2023-01-10,2023-02-21,open_box,sold,775
193,1,SKU-10993,"Philips 55"" Neo QLED 4K 2021",Philips,1780,2022-03-13,2022-03-22,new,rented,1111
194,1,SKU-11002,"LG 50"" OLED Air 2022",LG,2415,2022-06-29,2022-08-29,new,sold,951
195,1,SKU-11006,"Philips 75"" AMOLED Premium 2023",Philips,1090,2023-05-05,2023-06-20,new,sold,656
196,1,SKU-11014,"Philips 55"" Neo QLED Plus 2024",Philips,400,2023-03-12,2023-03-30,new,sold,738
197,1,SKU-11019,"TCL 55"" OLED Vision 2024",TCL,1135,2023-03-17,2023-05-19,new,rented,688
198,1,SKU-11025,"Sony 50"" OLED Air 2024",Sony,1885,2024-09-04,2024-09-27,new,sold,191
199,1,SKU-11026,"TCL 50"" AMOLED Pro 2021",TCL,810,2022-11-05,2022-11-06,new,sold,882
200,1,SKU-11035,"Philips 43"" MiniLED 4K 2021",Philips,1515,2022-01-23,2022-01-25,new,sold,1167
201,1,SKU-11040,"TCL 43"" QLED Compact 2021",TCL,1455,2023-04-15,2023-05-09,new,sold,698
202,1,SKU-11049,"Sony 65"" Neo QLED 4K 2023",Sony,1540,2023-03-01,2023-04-08,open_box,sold,729
203,1,SKU-11051,"Hisense 75"" Neo QLED Pro 2021",Hisense,420,2021-10-23,2022-01-20,new,sold,1172
204,1,SKU-11053,"Philips 50"" OLED Mini 2023",Philips,2280,2024-07-28,2024-08-31,new,for_sale,218
205,1,SKU-11055,"Hisense 50"" MiniLED Slim 2021",Hisense,615,2024-03-17,2024-03-26,new,sold,376
206,1,SKU-11058,"TCL 85"" OLED Premium 2024",TCL,2040,2022-04-07,2022-06-10,refurbished,sold,1031
207,1,SKU-11064,"Samsung 75"" MiniLED Plus 2024",Samsung,2400,2024-02-11,2024-03-23,new,sold,379
208,1,SKU-11069,"Philips 65"" OLED Air 2022",Philips,1795,2024-02-08,2024-02-18,refurbished,sold,413
209,1,SKU-11074,"LG 85"" AMOLED Max 2021",LG,640,2024-01-28,2024-03-08,new,sold,394
210,1,SKU-11076,"Samsung 43"" OLED Ultra 2023",Samsung,490,2024-04-05,2024-06-01,new,for_sale,309
211,1,SKU-11085,"TCL 75"" QLED Mini 2021",TCL,1610,2023-09-08,2023-10-27,new,sold,527
212,1,SKU-11090,"Philips 75"" OLED HD 2021",Philips,1805,2022-11-27,2022-12-14,new,sold,844
213,1,SKU-11095,"Sony 55"" Neo QLED Air 2022",Sony,960,2022-04-22,2022-06-07,new,sold,1034
214,1,SKU-11099,"Hisense 55"" QLED Air 2022",Hisense,2385,2023-08-25,2023-11-12,new,sold,511
215,1,SKU-11105,"Philips 75"" AMOLED Wireless 2024",Philips,740,2023-09-14,2023-10-06,new,sold,548
216,1,SKU-11111,"Sony 65"" LED Air 2022",Sony,550,2022-12-01,2023-02-14,new,sold,782
217,1,SKU-11114,"Hisense 55"" AMOLED Flex 2021",Hisense,450,2024-01-22,2024-04-17,new,sold,354
218,1,SKU-11117,"Hisense 65"" QLED Compact 2022",Hisense,1285,2024-06-26,2024-09-08,new,sold,210
219,1,SKU-11126,"TCL 85"" QLED Mini 2021",TCL,540,2023-03-01,2023-05-24,open_box,sold,683
220,1,SKU-11132,"LG 43"" QLED Pro 2024",LG,870,2024-09-06,2024-11-11,new,for_sale,146
221,1,SKU-11136,"Philips 50"" LED 4K 2024",Philips,2495,2024-09-02,2024-09-15,new,for_sale,203
222,1,SKU-11143,"Samsung 65"" OLED Plus 2022",Samsung,1445,2023-10-16,2023-12-15,new,sold,478
223,1,SKU-11151,"Hisense 85"" QLED Neo 2023",Hisense,350,2023-09-13,2023-12-04,new,sold,489
224,1,SKU-11154,"Hisense 75"" Neo QLED Premium 2022",Hisense,2410,2023-02-28,2023-04-20,open_box,sold,717
225,1,SKU-11157,"LG 65"" MiniLED Mini 2024",LG,1245,2021-10-12,2022-01-10,new,sold,1182
226,1,SKU-11161,"Sony 55"" OLED Max 2021",Sony,1305,2023-03-29,2023-06-22,new,sold,654
227,1,SKU-11170,"Hisense 55"" LED Wireless 2024",Hisense,2160,2022-09-25,2022-12-20,open_box,sold,838
228,1,SKU-11175,"TCL 50"" LED Vision 2021",TCL,555,2023-11-08,2024-02-04,new,sold,427
229,1,SKU-11184,"Philips 65"" AMOLED Mini 2022",Philips,1480,2022-10-11,2022-12-21,new,sold,837
230,1,SKU-11192,"Sony 43"" LED Elite 2022",Sony,2395,2024-09-02,2024-09-19,new,for_sale,199
231,1,SKU-11199,"TCL 85"" Neo QLED Edge 2024",TCL,1375,2022-04-08,2022-06-19,new,sold,1022
232,1,SKU-11203,"Sony 50"" Neo QLED Pro 2023",Sony,1545,2024-08-02,2024-10-11,new,sold,177
233,1,SKU-11205,"TCL 43"" AMOLED Plus 2023",TCL,1270,2023-01-29,2023-03-24,new,sold,744
234,1,SKU-11209,"Sony 65"" QLED Pro 2024",Sony,2005,2023-04-05,2023-05-01,open_box,sold,706
235,1,SKU-11215,"Hisense 43"" MiniLED Mini 2022",Hisense,1070,2023-07-09,2023-07-30,new,eligible_for_rental,616
236,1,SKU-11220,"Sony 65"" QLED Vision 2023",Sony,2480,2022-06-20,2022-09-17,new,sold,932
